Date,Code,Description,Type,Issuer,Listing Date,Maturity Date,Interest,Interest Type,Interest Freq,Originated Amt,Current Amt,Total Scripless,Sector,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total_local,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total_foreign
1/31/2023,SIPPLN03BCN4,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI B,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",8/2/2019,8/1/2026,8.5,FIXED,3 MONTHS,3.68E+11,3.68E+11,3.68E+11,ENERGY,4000000000,0,98000000000,0,2000000000,14000000000,0,0,2.5E+11,3.68E+11,0,0,0,0,0,0,0,0,0,0
1/31/2023,SIPPLN03BCN5,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI B,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",10/2/2019,10/1/2026,8.4,FIXED,3 MONTHS,10000000000,10000000000,10000000000,ENERGY,2500000000,0,5000000000,0,0,500000000,0,2000000000,0,10000000000,0,0,0,0,0,0,0,0,0,0
1/31/2023,SIPPLN03BCN6,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI B,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2/19/2020,2/18/2030,8,FIXED,3 MONTHS,3500000000,3500000000,3500000000,ENERGY,0,0,0,3000000000,500000000,0,0,0,0,3500000000,0,0,0,0,0,0,0,0,0,0
1/31/2023,SIPPLN03CCN1,SUKUK IJARAH BKLJ III PLN THP I TAHUN 2018 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",7/11/2018,7/10/2028,8.4,FIXED,3 MONTHS,2.58E+11,2.58E+11,2.58E+11,ENERGY,0,0,8000000000,1E+11,0,0,0,0,1.5E+11,2.58E+11,0,0,0,0,0,0,0,0,0,0
1/31/2023,SIPPLN03CCN2,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP II TAHUN 2018 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",10/11/2018,10/10/2028,9.1,FIXED,3 MONTHS,15000000000,15000000000,15000000000,ENERGY,0,0,15000000000,0,0,0,0,0,0,15000000000,0,0,0,0,0,0,0,0,0,0
1/31/2023,SIPPLN03CCN3,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2/20/2019,2/19/2026,9.35,FIXED,3 MONTHS,2.04E+11,2.04E+11,2.04E+11,ENERGY,5000000000,0,7000000000,3000000000,0,5000000000,0,40000000000,1.44E+11,2.04E+11,0,0,0,0,0,0,0,0,0,0
1/31/2023,SIPPLN03CCN4,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",8/2/2019,8/1/2029,8.7,FIXED,3 MONTHS,20000000000,20000000000,20000000000,ENERGY,2000000000,0,18000000000,0,0,0,0,0,0,20000000000,0,0,0,0,0,0,0,0,0,0
1/31/2023,SIPPLN03CCN5,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",10/2/2019,10/1/2029,8.6,FIXED,3 MONTHS,92000000000,92000000000,92000000000,ENERGY,1000000000,0,77000000000,9000000000,1000000000,4000000000,0,0,0,92000000000,0,0,0,0,0,0,0,0,0,0
1/31/2023,SIPPLN03CCN6,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2/19/2020,2/18/2035,8.7,FIXED,3 MONTHS,9000000000,9000000000,9000000000,ENERGY,3000000000,0,6000000000,0,0,0,0,0,0,9000000000,0,0,0,0,0,0,0,0,0,0
1/31/2023,SIPPLN03DCN1,SUKUK IJARAH BKLJ III PLN THP I TAHUN 2018 SERI D,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",7/11/2018,7/10/2033,8.9,FIXED,3 MONTHS,1.05E+11,1.05E+11,1.05E+11,ENERGY,75000000000,0,20000000000,0,0,0,0,10000000000,0,1.05E+11,0,0,0,0,0,0,0,0,0,0
